6
Produce,4
Fresh Apples,3.99,25
Bananas,0.59,100
Carrots,1.49,50
Organic Lettuce,2.99,30
Dairy,3
Milk (1L),1.49,60
Cheddar Cheese,5.99,40
Greek Yogurt,4.49,45
Bakery,5
Fresh Baguette,2.49,35
Croissants,3.99,20
Blueberry Muffins,4.99,30
Cinnamon Rolls,5.49,15
Sourdough Bread,3.79,25
Frozen Foods,4
Frozen Pizza,6.99,50
Ice Cream (1L),4.89,40
Frozen Fries,2.99,75
Frozen Vegetables,2.49,80
Snacks,6
Potato Chips,1.99,100
Chocolate Bars,2.49,90
Pretzels,2.79,60
Gummy Bears,1.89,150
Trail Mix,3.49,50
Granola Bars,2.29,75
Beverages,4
Sparkling Water,1.49,150
Coffee Beans,8.99,35
Orange Juice,3.49,60
Soda (500ml),1.19,200
